product id,real qty
601251,13
6046545,55
6051327,60
6075262,60
6079918,70
6079895,52
6082000,40
6029686,10
6076030,32
6084073,36
6048907,90
6069018,45
6081515,37
6079109,44
6002183,60
6079000,24
6080129,24
6085292,48
6039189,30
6024420,30
6005634,63
601176,36
602090,18
6075170,40
600084,60
6044268,20
6024437,46
6064907,30
6064891,30
6024406,12
6084677,240
6066789,16
6065133,120
6064778,360
6081997,600
601922,60
602086,180
602139,1512
6077556,360
6077563,600
6079093,144
6079277,270
6079192,600
6080068,180
6050689,80
6050672,100
601245,36
601244,24
602135,720
6071103,24
601923,3
6034719,16
601279,32
601290,24
6033378,90
6079062,50
6079048,40
6010652,168
602658,200
602659,50
6013059,24
602424,12
602425,12
602471,2
