PRDID	QTY
6079772	207.0
6079765	413.0
6049195	192.0
6048785	473.0
6017118	172.0
600858	6.0
600865	1991.0
6066482	1176.0
6067137	613.0
6043834	910.0
6067229	697.0
6067236	991.0
6052430	953.0
6043841	1855.0
6067120	660.0
6004538	173.0
6083434	536.0
6083441	541.0
601583	372.0
6075774	409.0
6073077	623.0
6064259	415.0
602066	416.0
6083717	380.0
6048204	659.0
6048198	1012.0
6055530	606.0
6079437	350.0
601020	1594.0
6079444	708.0
601050	778.0
6079420	208.0
600482	1920
6005894	384
6033538	192
6048785	576
601020	1920
601079	960
601050	960
6003951	384
6049195	192
600861	896
602635	325
600858	1200
601702	240
6060534	108
6083823	108
6083724	54
6071295	54
6065744	270
6083700	54
6060541	108
6002237	240
6054434	120
6070199	120
6054397	60
6054410	180
6083458	384
601258	210
6026110	210
6026127	210
600381	208
6021108	54
6079680	162
6006457	720
6054427	120
6054441	120
602286	214
602287	112
600219	2100
6054380	60
