sku,qty,is_in_stock
600219,3026.0,1
6079680,126.0,1
6083724,27.833,1
6083700,35.0,1
6083823,143.0,1
6065744,26.0,1
6071295,0,0
6060534,71.0,1
6021108,0,0
6060541,17.0,1
6079772,178.0,1
6079765,382.0,1
6049195,597.0,1
600381,93.0,1
6005894,0,0
6033538,128.0,1
600482,1276.0,1
6048785,720.583,1
6083458,361.0,1
6017118,542.0,1
600858,2566.166,1
600861,423.0,1
600865,2218.0,1
6006457,923.0,1
6066482,65.0,1
601079,326.0,1
601258,50.0,1
6067137,0.0,0
6043834,541.0,1
6067229,269.125,1
6067236,301.875,1
6052430,0,0
6043841,286.249,1
6067120,159.0,1
6070199,83.0,1
6054441,114.0,1
6054427,104.0,1
6054380,42.0,1
6054434,36.0,1
6054410,224.0,1
6054397,228.0,1
6003951,329.0,1
6004538,116.0,1
6083434,276.0,1
6083441,353.0,1
601583,203.0,1
6075774,210.0,1
601702,140.0,1
6073077,514.0,1
6064259,408.0,1
602066,338.0,1
602286,1651.0,1
602287,684.0,1
6083717,330.0,1
6048204,601.0,1
6002237,0,0
6048198,637.0,1
6055530,338.333,1
6079437,41.0,1
601020,1418.999,1
6079444,23.0,1
601050,800.0,1
6079420,208.0,1
6026110,355.0,1
6026127,143.0,1
602635,0,0
601023,0,0
600222,1884.5,1
6031220,0.0,0
6059972,86.0,1
600519,353.0,1
6081287,167.0,1
6081270,156.0,1
6081263,151.0,1
6081256,167.0,1
6081294,166.0,1
6000981,161.0,1
6002251,74.0,1
6002268,6.0,1
6082499,259.0,1
6084097,90.0,1
6083694,220.0,1
6084042,104.0,1
6002664,393.0,1
6002497,23.0,1
6002220,0.0,0
6083830,48.0,1
6003425,0.0,0
6002343,200.0,1
6004248,0.0,0
6015534,177.0,1
6005689,0.0,0
6001827,0.0,0
6001828,0.0,0
6016890,34.0,1
6083335,133.0,1
6084080,183.0,1
6075026,116.0,1
6075484,0.0,0
6084301,0.0,0
6084295,0.0,0
6045715,0.0,0
6037574,3.0,1
6084233,0.0,0
6084226,0.0,0
6084240,0.0,0
6075460,23.0,1
6084318,37.0,1
6084257,32.0,1
6084325,39.0,1
6084264,24.0,1
6084271,24.0,1
6084288,1.0,1
6084356,67.0,1
6084349,36.0,1
6084363,48.0,1
6084332,101.0,1
6082314,108.0,1
6006327,5.0,1
6008833,0.0,0
6002848,31.0,1
6008741,6.0,1
600516,0.0,0
6045784,36.0,1
6043056,3.0,1
6025816,108.0,1
6012373,1.0,1
6060602,60.0,1
6030063,1.0,1
6008758,3.0,1
601774,0.0,0
602112,4.0,1
6065881,10.0,1
6025038,117.0,1
6003234,4.0,1
6027803,1.0,1
6003739,20.0,1
6068271,2.0,1
6071271,12.0,1
6030018,16.0,1
6065843,192.0,1
6025823,48.0,1
6068257,0.0,0
6074043,14.0,1
601645,0.0,0
6037659,14.0,1
6072674,0.0,0
6036959,28.0,1
602109,6.0,1
6001261,0.0,0
6008765,3.0,1
6071127,45.0,1
6019396,3.0,1
6071110,15.0,1
6008840,0.0,0
6002701,0.0,0
6004750,72.0,1
6040390,0.0,0
6083267,18.5,1
6052522,10.0,1
6074036,6.0,1
6040352,10.0,1
6040376,18.0,1
6071264,3.0,1
6071240,8.0,1
6040406,5.0,1
6052515,5.0,1
6040369,3.0,1
6078157,2.0,1
6072483,1.0,1
6072575,12.0,1
6072537,6.0,1
6073893,0.0,0
6072551,7.0,1
6072490,6.0,1
6072506,12.0,1
6072568,54.0,1
6072599,33.0,1
6072544,6.0,1
6072513,24.0,1
6073886,0.0,0
6072520,60.0,1
6072476,0.0,0
6072582,22.0,1
6073589,5.0,1
602700,0.0,0
601198,0.0,0
601195,0.0,0
6069988,13.0,1
600394,0.0,0
6056858,0.0,0
6069971,4.0,1
6056902,0.0,0
6052393,122.0,1
6041946,150.0,1
602708,0.0,0
600921,0.0,0
600968,8.0,1
600974,58.0,1
600970,10.0,1
600975,1.0,1
600977,0.0,0
6048525,34.0,1
602694,0.0,0
6001018,40.0,1
602699,3.0,1
602757,0.0,0
6069537,0.0,0
6057855,108.0,1
602657,504.0,1
602660,504.0,1
602664,125.0,1
600072,121.0,1
602661,50.0,1
602659,73.0,1
6039530,18.0,1
601669,39.0,1
6072254,0.0,0
6000103,235.0,1
6080174,19.0,1
6058302,60.0,1
6029838,20.0,1
602304,12.0,1
6022099,96.0,1
6017125,210.0,1
6024291,48.0,1
6022082,90.0,1
600012,0.0,0
600067,60.0,1
601664,60.0,1
600647,0.0,0
601849,4.0,1
600804,7.0,1
601051,0.0,0
6084738,20.0,1
6012397,23.0,1
601850,8.0,1
601007,0.0,0
601620,36.0,1
6040345,20.0,1
6040338,19.0,1
6084530,6.0,1
6084554,5.0,1
6084547,4.0,1
6052508,29.0,1
6073541,0.0,0
602591,0.0,0
602724,234.0,1
602698,0.0,0
602658,439.0,1
6054199,53.0,1
6039660,553.0,1
6064792,4.0,1
602782,212.0,1
6084585,0.0,0
6051648,60.0,1
602611,1152.0,1
601667,336.0,1
6084578,0.0,0
6084608,0.0,0
6084615,0.0,0
601566,29.0,1
