Code	StockOnHand	Count
"600030"	0	""
"6071172"	0	""
"6000615"	0	""
"6082581"	0	""
"600310"	0	""
"6021252"	0	""
"6021245"	0	""
"6016197"	0	""
"6037215"	0	""
"6053437"	0	""
"600012"	0	""
"602024"	0	""
"600818"	0	""
"600022"	0	""
"6080402"	0	""
"602132"	0	""
"602738"	0	""
"6048525"	34	""
"6001018"	40	""
"602700"	0	""
"600017"	48	""
"600026"	0	""
"6076795"	0	""
"6069001"	0	""
"6005870"	0	""
"6076764"	0	""
"6082178"	0	""
"6082208"	0	""
"6082185"	0	""
"600219"	3091	""
"6059972"	86	""
"6031220"	0	""
"600222"	1888.5	""
"6054472"	0	""
"602523"	0	""
"6076382"	0	""
"6077075"	0	""
"6081249"	0	""
"6081232"	0	""
"6081225"	0	""
"6081195"	0	""
"6081201"	0	""
"6081188"	0	""
"6081171"	0	""
"6081218"	0	""
"6081164"	0	""
"6032296"	0	""
"6082222"	0	""
"600094"	0	""
"6047030"	0	""
"6071424"	0	""
"600098"	0	""
"600099"	0	""
"600101"	0	""
"6069438"	0	""
"6053345"	0	""
"600096"	0	""
"600097"	0	""
"6007720"	0	""
"6074968"	0	""
"6079833"	0	""
"6079857"	0	""
"6079840"	0	""
"6005115"	0	""
"6005122"	0	""
"600220"	0	""
"6053352"	0	""
"6061487"	0	""
"6067922"	0	""
"6072025"	0	""
"6061470"	0	""
"6067946"	0	""
"6085186"	0	""
"6037918"	0	""
"6056315"	0	""
"6081409"	0	""
"6081393"	0	""
"6081423"	2	""
"6081416"	5	""
"6039011"	12	""
"6060473"	1	""
"6085506"	13	""
"6085490"	16	""
"600599"	0	""
"602801"	0	""
"600146"	0	""
"600156"	0	""
"6008574"	0	""
"601076"	0	""
"602078"	0	""
"600175"	0	""
"600181"	0	""
"600102"	0	""
"6050528"	0	""
"6047504"	0	""
"600209"	0	""
"6051174"	0	""
"6047498"	0	""
"6052362"	0	""
"600116"	0	""
"6026479"	0	""
"6050160"	0	""
"600115"	0	""
"6043629"	0	""
"6043636"	13	""
"6048877"	18	""
"600050"	0	""
"6083564"	0	""
"600051"	0	""
"6032173"	0	""
"6081522"	0	""
"600052"	0	""
"600053"	0	""
"6026653"	0	""
"6019174"	0	""
"6010065"	0	""
"6083595"	0	""
"6016951"	0	""
"600122"	0	""
"6062514"	0	""
"600134"	0	""
"6083694"	220	""
"6086992"	0	""
"6001827"	0	""
"6001810"	0	""
"6086923"	0	""
"6076313"	0	""
"6021085"	0	""
"6021092"	0	""
"6026097"	0	""
"6021109"	0	""
"6086282"	10	""
"6079659"	86	""
"6082888"	0	""
"6079680"	127	""
"6083724"	27.833	""
"6083700"	35	""
"6083823"	143	""
"6079666"	89	""
"6065744"	30	""
"6082871"	0	""
"6071295"	0	""
"6060534"	73	""
"6021108"	0	""
"6060541"	18	""
"6009106"	0	""
"6009090"	0	""
"6061531"	0	""
"602791"	0	""
"6085841"	0	""
"6083793"	0	""
"600087"	0	""
"6017217"	0	""
"6018870"	0	""
"600716"	0	""
"600706"	0	""
"600710"	0	""
"600714"	0	""
"600717"	0	""
"600721"	0	""
"6080747"	0	""
"6081638"	0	""
"600725"	0	""
"600207"	0	""
"6059613"	0	""
"6080884"	12	""
"6043599"	0	""
"6010485"	0	""
"6081768"	0	""
"6061951"	0	""
"6046439"	0	""
"6065126"	0	""
"6058708"	0	""
"6032128"	0	""
"600240"	0	""
"6050153"	0	""
"6009434"	0	""
"6083144"	0	""
"600060"	206	""
"6051693"	0	""
"6079772"	178	""
"6079765"	382	""
"6049195"	597	""
"6034764"	0	""
"6066161"	0	""
"6085988"	0	""
"6024925"	0	""
"6025038"	117	""
"600386"	0	""
"6004750"	72	""
"6045784"	36	""
"6073053"	0	""
"6082062"	0	""
"6045777"	0	""
"6071981"	0	""
"6069278"	0	""
"6052096"	0	""
"6029937"	0	""
"600329"	0	""
"6013004"	0	""
"6085971"	0	""
"6084714"	0	""
"6082796"	0	""
"6084707"	0	""
"6084523"	0	""
"6084721"	0	""
"6074746"	3	""
"6080440"	0	""
"6023065"	0	""
"6085032"	0	""
"6080648"	0	""
"6085049"	3	""
"600284"	0	""
"6081355"	0	""
"6079031"	0	""
"6013165"	0	""
"6044169"	0	""
"6076139"	0	""
"6022419"	0	""
"6013219"	0	""
"6075309"	0	""
"6083397"	0	""
"6083380"	0	""
"6084844"	0	""
"6051044"	0	""
"6059668"	0	""
"6041151"	0	""
"6041038"	0	""
"600348"	0	""
"6042295"	0	""
"600314"	130	""
"6038977"	0	""
"6081317"	0	""
"6016777"	0	""
"6069759"	0	""
"6007706"	0	""
"6074753"	0	""
"6078157"	2	""
"6084530"	6	""
"6085025"	3	""
"6061265"	0	""
"6074166"	0	""
"6074159"	0	""
"6073619"	0	""
"600335"	2	""
"600336"	6	""
"600337"	12	""
"600338"	3	""
"6061395"	0	""
"6060015"	0	""
"600381"	94	""
"6080969"	0	""
"6066499"	0	""
"6057312"	0	""
"6032432"	0	""
"6046835"	0	""
"6002404"	0	""
"6066345"	0	""
