sku,name,short_description,description,price,weight,qty,_category,_attribute_set,_type,_root_category,status,tax_class_id,visibility,_product_websites,image,small_image,thumbnail,is_in_stock,_media_attribute_id,_media_image
6077112,ICE BREAKER DUO GRAPE 36G*8,ICE BREAKER DUO GRAPE 36G*8,ICE BREAKER DUO GRAPE 36G*8,22,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6077112.png,6077112.png,6077112.png,1,80,6077112.png
6076900,JB BEAN BOOZLED DISPENSER 99G,JB BEAN BOOZLED DISPENSER 99G,JB BEAN BOOZLED DISPENSER 99G,45,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076900.png,6076900.png,6076900.png,1,80,6076900.png
6076894,JB DRAFT BEER CAN 49G*12,JB DRAFT BEER CAN 49G*12,JB DRAFT BEER CAN 49G*12,54,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076894.png,6076894.png,6076894.png,1,80,6076894.png
6076696,HOSTESS POWDERE DONETTES 6PACK,HOSTESS POWDERE DONETTES 6PACK,HOSTESS POWDERE DONETTES 6PACK,22,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076696.png,6076696.png,6076696.png,1,80,6076696.png
6076689,HOSTESS CHOC DONETTES 6PACK,HOSTESS CHOC DONETTES 6PACK,HOSTESS CHOC DONETTES 6PACK,22,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076689.png,6076689.png,6076689.png,1,80,6076689.png
6076672,HOSTESS GLAZED DONETTES 6PACK,HOSTESS GLAZED DONETTES 6PACK,HOSTESS GLAZED DONETTES 6PACK,22,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076672.png,6076672.png,6076672.png,1,80,6076672.png
6076641,HOSTESS PB HOHO 3PAK,HOSTESS PB HOHO 3PAK,HOSTESS PB HOHO 3PAK,13.2,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076641.png,6076641.png,6076641.png,1,80,6076641.png
6076634,HOSTESS FUDGE TWINKIES 2PAK,HOSTESS FUDGE TWINKIES 2PAK,HOSTESS FUDGE TWINKIES 2PAK,13.2,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076634.png,6076634.png,6076634.png,1,80,6076634.png
6076504,MIKE IKE SUNDAE SWEETS 141G,MIKE IKE SUNDAE SWEETS 141G,MIKE IKE SUNDAE SWEETS 141G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076504.png,6076504.png,6076504.png,1,80,6076504.png
6076498,MIKE IKE NBA2K17 141G,MIKE IKE NBA2K17 141G,MIKE IKE NBA2K17 141G,21,0.3,50,Confectionery/USA Confectionery,Default,simple,Default Category,1,2,4,base,6076498.png,6076498.png,6076498.png,1,80,6076498.png
