sku,name,_category,image
6053802,"""HOTLIX DESSERT SCORPION 24'S""","""Confectionery/USA Confectionery""",
6053833,"""HOTLIX CHOC DIPPED INSECT 24""","""Confectionery/USA Confectionery""",
6057176,"""WORLD LARGEST WORMS 1.34KG""","""Confectionery/USA Confectionery""",
6057312,"""BIGBIG GUMMI BEARS 12OZ""","""Confectionery/USA Confectionery""",
6057329,"""WORLD LARGEST BEARS 2.268KG""","""Confectionery/USA Confectionery""",
6057459,"""HOTLIX AUT WAFERS 24'S""","""Confectionery/USA Confectionery""",
6053284,"""RING POP UBS 24""","""Confectionery/USA Confectionery""",
6047085,"""MONSTER UNIV SPIN POPS 12""","""Confectionery/USA Confectionery""",
6071042,"""FERRERO ROCHER T5*12""","""Confectionery/USA Confectionery""",
6049065,"""JELLY BELLY SPRING MIX 34GX24""","""Confectionery/USA Confectionery""",
6074401,"""JOLLYRANCHER J BEAN 39G*24""","""Confectionery/USA Confectionery""",
6068837,"""WONKA GRAPE STRA NERDS 141G*12""","""Confectionery/USA Confectionery""",
6064938,"""F.PAN DARK CHOC REDHOT 113G*12""","""Confectionery/USA Confectionery""",
6067960,"""F.PAN REDHOT SOUR 142G*12""","""Confectionery/USA Confectionery""",
6067977,"""F.PAN REDHOT INTEN CINN142G*12""","""Confectionery/USA Confectionery""",
6070304,"""DR PEPPER SODA BOTTLES 85G*12""","""Confectionery/USA Confectionery""",
6070335,"""SATHER JUJYFRUITS 85G*12""","""Confectionery/USA Confectionery""",
6070472,"""HERSHEY'S SYMPHONY 42G*36""","""Confectionery/USA Confectionery""",
6070670,"""HERSHEY SYMPHONY XL 120G*12""","""Confectionery/USA Confectionery""",
6070816,"""TOOTSIE POP DROPS 99G*12""","""Confectionery/USA Confectionery""",
6071103,"""MR GOODBAR K.SIZE 73G*18""","""Confectionery/USA Confectionery""",
6072254,"""MM COFFEE NUT K/SIZE 92G*24""","""Confectionery/USA Confectionery""",
6072315,"""WARHEAD SOUR JELLYBEAN 113G*12""","""Confectionery/USA Confectionery""",
6073633,"""SKITTLES BRIGHTSIDE 56.7G*24""","""Confectionery/USA Confectionery""",
6073640,"""STARBURST SUMMER SPLASH 58G*24""","""Confectionery/USA Confectionery""",
6074142,"""TOOTSIE FRUIT CHEW BITES 170G""","""Confectionery/USA Confectionery""",
6074623,"""REESE NUT BAR 47G*18""","""Confectionery/USA Confectionery""",
6074777,"""HERSHEY'S KISSES DELUXE 4PC""","""Confectionery/USA Confectionery""",
6074784,"""ALMOND JOY SNACK MIX 56G*10""","""Confectionery/USA Confectionery""",
6074807,"""BUTTERFINGER K.SIZE 104G*18""","""Confectionery/USA Confectionery""",
6074876,"""HERSHEY LAYER CARAMEL 99G""","""Confectionery/USA Confectionery""",
6074883,"""HERSHEY LAYER VANILLA 99G""","""Confectionery/USA Confectionery""",
6074890,"""HERSHEY LAYER MINT 99G""","""Confectionery/USA Confectionery""",
