Category,Sub Category,Active,Product Name,Style Code,Brand,Product Types,POS Tabs,Project Name,Image 1,Created Date,Description,Description 2,Internal Description,Tags,Option 1 Label,Option 2 Label,Option 3 Label,Order Type,Supplier,Weight,Cubic Meters,Height cm,Length cm,Width cm,Alternative Sales Account,Alternative Purchase Account,Import Customs Duty Code,Stock Control,SKU Range,Channels,Magento Attribute set,Code,Supplier Code,Barcode,Option 1,Option 2,Option 3,Retail AUD Incl,VIP AUD Incl,Wholesale AUD Excl,Cost AUD Excl,Cost USD Exempt,Cost EUR Exempt,Price CAD Exempt,Price USD Exempt,Special Price,Special Start Date,Special Days,Average Landed Cost,Stock Avail,SOH,Minimum Stock,Holding Stock,Incoming Stock,Supplier Stock,Virtual Stock,Reorder Level,Supply Days,Weight1,Size Code / Alt UOM Code,Size Barcode,Alt UOM Supplier Code,SOH1,Alt UOM Qty,Size,Alt UOM Option1,Alt UOM Option2,UOM Retail AUD Incl,UOM VIP AUD Incl,UOM Wholesale AUD Excl,UOM Cost AUD Excl,UOM Cost USD Exempt,UOM Cost EUR Exempt,UOM Price CAD Exempt,UOM Price USD Exempt,Inner Barcode
CONFECTIONERY,MEDICATED/ROLLS,1,CTC AUSSIE EUC DROPS 70G*24,600206,0,,,,600206_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,CTC PTY LTD,0,0,0,0,0,,,,FIFO,,Magento,Default,600206,,,,,,1.32,0,22.58,14.68,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
CONFECTIONERY,MEDICATED/ROLLS,1,ALLEN'S THROATIES BOX *24,600189,0,,,,600189_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,NESTLE AUSTRALIA,0,0,0,0,0,,,,FIFO,,Magento,Default,600189,,,,,,2.06,0,35.86,31.2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
CONFECTIONERY,MEDICATED/ROLLS,1,ALLENS THROATIES STICKS * 36,600190,0,,,,600190_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,NESTLE AUSTRALIA,0,0,0,0,0,,,,FIFO,,Magento,Default,600190,,,,,,1.73,0,45.1,35.719,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
CONFECTIONERY,MEDICATED/ROLLS,1,HOMERUN BUBBLEGUM 240,6075545,0,,,,6075545_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,CRAIG LEE TRADING,0,0,0,0,0,,,,FIFO,,Magento,Default,6075545,,,,,,0.17,0,24.24,12.17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
CONFECTIONERY,MEDICATED/ROLLS,1,NES LIFE SAVERS P/MINT 4'S,601547,0,,,,601547_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,GROCERY GENERAL,0,0,0,0,0,,,,FIFO,,Magento,Default,601547,,,,,,2.59,0,21.71,1.36,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
CONFECTIONERY,MEDICATED/ROLLS,1,ANTICOL THROAT LOZENGES *36,600134,0,,,,600134_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,NESTLE AUSTRALIA,0,0,0,0,0,,,,FIFO,,Magento,Default,600134,,,,,,1.73,0,45.1,39.7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
CONFECTIONERY,MEDICATED/ROLLS,1,SOOTHERS BLACKCURRANT 40G *36,600144,0,,,,600144_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,NESTLE AUSTRALIA,0,0,0,0,0,,,,FIFO,,Magento,Default,600144,,,,,,1.73,0,45.1,35.719,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
CONFECTIONERY,MEDICATED/ROLLS,1,SOOTHERS HONEY/LEMON * 36,600159,0,,,,600159_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,NESTLE AUSTRALIA,0,0,0,0,0,,,,FIFO,,Magento,Default,600159,,,,,,1.73,0,45.1,35.719,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
CONFECTIONERY,MEDICATED/ROLLS,1,BUTTER MENTHOL STICK 40G * 36,600407,0,,,,600407_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,NESTLE AUSTRALIA,0,0,0,0,0,,,,FIFO,,Magento,Default,600407,,,,,,1.73,0,45.1,39.24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
CONFECTIONERY,MEDICATED/ROLLS,1,ALLENS FRUIT TINGLES 34G * 36,601076,0,,,,601076_tn.jpg,18 Aug 2017 3:22 p.m.,,,,,,,,Order,NESTLE AUSTRALIA,0,0,0,0,0,,,,FIFO,,Magento,Default,601076,,,,,,0.97,0,24.41,21.24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
