sku,name,short_description,description,price,weight,qty,_category,_attribute_set,_type,_root_category,status,tax_class_id,_product_websites,image,small_image,thumbnail,is_in_stock,_media_attribute_id,_media_image
602764,WONKA NERDS ROPE HOLIDAY 24,WONKA NERDS ROPE HOLIDAY 24,WONKA NERDS ROPE HOLIDAY 24,28.8,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,602764.png,602764.png,602764tn.png,1,80,602764.png
6048884,EASTER WHIRLY POP 24,EASTER WHIRLY POP 24,EASTER WHIRLY POP 24,36,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6048884.png,6048884.png,6048884tn.png,1,80,6048884.png
6048938,EASTER UNICORN POP 24,EASTER UNICORN POP 24,EASTER UNICORN POP 24,24,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6048938.png,6048938.png,6048938tn.png,1,80,6048938.png
6057749,MM EGGS COCONUT 280G*12,MM EGGS COCONUT 280G*12,MM EGGS COCONUT 280G*12,5.5,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6057749.png,6057749.png,6057749tn.png,1,80,6057749.png
6074180,REESE PB MINI EGG 510G*24,REESE PB MINI EGG 510G*24,REESE PB MINI EGG 510G*24,10,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6074180.png,6074180.png,6074180tn.png,1,80,6074180.png
6074395,REESE PB MINI EGG 226G*12,REESE PB MINI EGG 226G*12,REESE PB MINI EGG 226G*12,5.75,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6074395.png,6074395.png,6074395tn.png,1,80,6074395.png
6074449,HERSHEY C.C EGG 226G*12,HERSHEY C.C EGG 226G*12,HERSHEY C.C EGG 226G*12,5.75,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6074449.png,6074449.png,6074449tn.png,1,80,6074449.png
6035044,WONKA NERDS ROPE EASTER 24,WONKA NERDS ROPE EASTER 24,WONKA NERDS ROPE EASTER 24,24,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035044.png,6035044.png,6035044tn.png,1,80,6035044.png
6035051,HERSHEY PRINCESS BUNNY 141G,HERSHEY PRINCESS BUNNY 141G,HERSHEY PRINCESS BUNNY 141G,5.95,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035051.png,6035051.png,6035051tn.png,1,80,6035051.png
6035068,REESE'S REESTER BUNNY 141G,REESE'S REESTER BUNNY 141G,REESE'S REESTER BUNNY 141G,5.95,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035068.png,6035068.png,6035068tn.png,1,80,6035068.png
6035075,HERSHEY'S MILK BUNNY 34G*36,HERSHEY'S MILK BUNNY 34G*36,HERSHEY'S MILK BUNNY 34G*36,43.2,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035075.png,6035075.png,6035075tn.png,1,80,6035075.png
6035082,REESE'S MEGA MIX 636G,REESE'S MEGA MIX 636G,REESE'S MEGA MIX 636G,12.23,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035082.png,6035082.png,6035082tn.png,1,80,6035082.png
6035099,REESE'S PIECES PASTEL EGG 340G,REESE'S PIECES PASTEL EGG 340G,REESE'S PIECES PASTEL EGG 340G,4.95,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035099.png,6035099.png,6035099tn.png,1,80,6035099.png
6035105,REESE'S PIECES PASTEL EGG DISP,REESE'S PIECES PASTEL EGG DISP,REESE'S PIECES PASTEL EGG DISP,30,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035105.png,6035105.png,6035105tn.png,1,80,6035105.png
6035112,REESTER MINI BUNNIES 283G,REESTER MINI BUNNIES 283G,REESTER MINI BUNNIES 283G,5.5,0.3,50,Seasonal/USA Easter,Default,simple,Default Category,1,2,base,6035112.png,6035112.png,6035112tn.png,1,80,6035112.png
