sku,name,short_description,description,price,weight,qty,_category,_attribute_set,_type,_root_category,status,tax_class_id,_product_websites,image,small_image,thumbnail,is_in_stock,_media_attribute_id,_media_image
600206,CTC AUSSIE EUC DROPS 70G*24,CTC AUSSIE EUC DROPS 70G*24,CTC AUSSIE EUC DROPS 70G*24,22.58,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,600206.jpg,600206.jpg,600206.jpg,1,80,600206.jpg
600189,ALLEN'S THROATIES BOX *24,ALLEN'S THROATIES BOX *24,ALLEN'S THROATIES BOX *24,35.86,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,600189.jpg,600189.jpg,600189.jpg,1,80,600189.jpg
600190,ALLENS THROATIES STICKS * 36,ALLENS THROATIES STICKS * 36,ALLENS THROATIES STICKS * 36,45.1,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,600190.jpg,600190.jpg,600190.jpg,1,80,600190.jpg
6075545,HOMERUN BUBBLEGUM 240,HOMERUN BUBBLEGUM 240,HOMERUN BUBBLEGUM 240,24.24,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,6075545.jpg,6075545.jpg,6075545.jpg,1,80,6075545.jpg
601547,NES LIFE SAVERS P/MINT 4'S,NES LIFE SAVERS P/MINT 4'S,NES LIFE SAVERS P/MINT 4'S,21.71,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,601547.jpg,601547.jpg,601547.jpg,1,80,601547.jpg
600134,ANTICOL THROAT LOZENGES *36,ANTICOL THROAT LOZENGES *36,ANTICOL THROAT LOZENGES *36,45.1,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,600134.jpg,600134.jpg,600134.jpg,1,80,600134.jpg
600144,SOOTHERS BLACKCURRANT 40G *36,SOOTHERS BLACKCURRANT 40G *36,SOOTHERS BLACKCURRANT 40G *36,45.1,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,600144.jpg,600144.jpg,600144.jpg,1,80,600144.jpg
600159,SOOTHERS HONEY/LEMON * 36,SOOTHERS HONEY/LEMON * 36,SOOTHERS HONEY/LEMON * 36,45.1,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,600159.jpg,600159.jpg,600159.jpg,1,80,600159.jpg
600407,BUTTER MENTHOL STICK 40G * 36,BUTTER MENTHOL STICK 40G * 36,BUTTER MENTHOL STICK 40G * 36,45.1,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,600407.jpg,600407.jpg,600407.jpg,1,80,600407.jpg
601076,ALLENS FRUIT TINGLES 34G * 36,ALLENS FRUIT TINGLES 34G * 36,ALLENS FRUIT TINGLES 34G * 36,24.41,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,601076.jpg,601076.jpg,601076.jpg,1,80,601076.jpg
601541,L/SAVERS 5 FLAVOURS 34G * 24,L/SAVERS 5 FLAVOURS 34G * 24,L/SAVERS 5 FLAVOURS 34G * 24,16.28,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,601541.jpg,601541.jpg,601541.jpg,1,80,601541.jpg
601542,L/SAVERS B/CURRANT PAST 34G*24,L/SAVERS B/CURRANT PAST 34G*24,L/SAVERS B/CURRANT PAST 34G*24,16.28,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,601542.jpg,601542.jpg,601542.jpg,1,80,601542.jpg
601548,NES L/S CHEWY QUICK-EZE 32,NES L/S CHEWY QUICK-EZE 32,NES L/S CHEWY QUICK-EZE 32,43.48,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,601548.jpg,601548.jpg,601548.jpg,1,80,601548.jpg
602069,NES WALCO QUICK EZE 12 TAB 25G,NES WALCO QUICK EZE 12 TAB 25G,NES WALCO QUICK EZE 12 TAB 25G,39.72,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,602069.jpg,602069.jpg,602069.jpg,1,80,602069.jpg
602322,SOOTHERS EUCYLYPTUS 45G * 36,SOOTHERS EUCYLYPTUS 45G * 36,SOOTHERS EUCYLYPTUS 45G * 36,45.1,0.3,50,Confectionery/Medicated Rolls,Default,simple,Default Category,1,2,base,602322.jpg,602322.jpg,602322.jpg,1,80,602322.jpg
