sku,image,small_image,thumbnail,_media_attribute_id,_media_image,_media_position,_media_is_disabled,visibility
6005870,6005870.jpg,6005870.jpg,6005870.jpg,80,6005870.jpg,0,0,4
600652,600652.jpg,600652.jpg,600652.jpg,80,600652.jpg,0,0,4
601022,601022.jpg,601022.jpg,601022.jpg,80,601022.jpg,0,0,4
601023,601023.jpg,601023.jpg,601023.jpg,80,601023.jpg,0,0,4
6011673,6011673.jpg,6011673.jpg,6011673.jpg,80,6011673.jpg,0,0,4
6011758,6011758.jpg,6011758.jpg,6011758.jpg,80,6011758.jpg,0,0,4
6011901,6011901.jpg,6011901.jpg,6011901.jpg,80,6011901.jpg,0,0,4
,,,,80,6011901_1.jpg,1,0,
601252,601252.jpg,601252.jpg,601252.jpg,80,601252.jpg,0,0,4
6014217,6014217.jpg,6014217.jpg,6014217.jpg,80,6014217.jpg,0,0,4
602448,602448.jpg,602448.jpg,602448.jpg,80,602448.jpg,0,0,4
602872,602872.jpg,602872.jpg,602872.jpg,80,602872.jpg,0,0,4
6029033,6029033.jpg,6029033.jpg,6029033.jpg,80,6029033.jpg,0,0,4
6029034,6029034.jpg,6029034.jpg,6029034.jpg,80,6029034.jpg,0,0,4
6030057,6030057.jpg,6030057.jpg,6030057.jpg,80,6030057.jpg,0,0,4
6033454,6033454.jpg,6033454.jpg,6033454.jpg,80,6033454.jpg,0,0,4
6044473,6044473.jpg,6044473.jpg,6044473.jpg,80,6044473.jpg,0,0,4
6046545,6046545.jpg,6046545.jpg,6046545.jpg,80,6046545.jpg,0,0,4
6046965,6046965.jpg,6046965.jpg,6046965.jpg,80,6046965.jpg,0,0,4
6047085,6047085.jpg,6047085.jpg,6047085.jpg,80,6047085.jpg,0,0,4
,,,,80,6047085_1.jpg,1,0,
6048099,6048099.jpg,6048099.jpg,6048099.jpg,80,6048099.jpg,0,0,4
,,,,80,6048099_1.jpg,1,0,
6048877,6048877.jpg,6048877.jpg,6048877.jpg,80,6048877.jpg,0,0,4
,,,,80,6048877_1.jpg,1,0,
,,,,80,6048877_2.jpg,2,0,
,,,,80,6048877_3.jpg,3,0,
6049034,6049034.jpg,6049034.jpg,6049034.jpg,80,6049034.jpg,0,0,4
6049065,6049065.jpg,6049065.jpg,6049065.jpg,80,6049065.jpg,0,0,4
6050009,6050009.jpg,6050009.jpg,6050009.jpg,80,6050009.jpg,0,0,4
,,,,80,6050009_1.jpg,1,0,
6051358,6051358.jpg,6051358.jpg,6051358.jpg,80,6051358.jpg,0,0,4
6052263,6052263.jpg,6052263.jpg,6052263.jpg,80,6052263.jpg,0,0,4
6052270,6052270.jpg,6052270.jpg,6052270.jpg,80,6052270.jpg,0,0,4
6052287,6052287.jpg,6052287.jpg,6052287.jpg,80,6052287.jpg,0,0,4
6052300,6052300.jpg,6052300.jpg,6052300.jpg,80,6052300.jpg,0,0,4
6052317,6052317.jpg,6052317.jpg,6052317.jpg,80,6052317.jpg,0,0,4
6052324,6052324.jpg,6052324.jpg,6052324.jpg,80,6052324.jpg,0,0,4
6052485,6052485.jpg,6052485.jpg,6052485.jpg,80,6052485.jpg,0,0,4
6052607,6052607.jpg,6052607.jpg,6052607.jpg,80,6052607.jpg,0,0,4
6053703,6053703.jpg,6053703.jpg,6053703.jpg,80,6053703.jpg,0,0,4
6053802,6053802.jpg,6053802.jpg,6053802.jpg,80,6053802.jpg,0,0,4
6053833,6053833.jpg,6053833.jpg,6053833.jpg,80,6053833.jpg,0,0,4
,,,,80,6053833_1.jpg,1,0,
6053864,6053864.jpg,6053864.jpg,6053864.jpg,80,6053864.jpg,0,0,4
6053871,6053871.jpg,6053871.jpg,6053871.jpg,80,6053871.jpg,0,0,4
6053888,6053888.jpg,6053888.jpg,6053888.jpg,80,6053888.jpg,0,0,4
6053895,6053895.jpg,6053895.jpg,6053895.jpg,80,6053895.jpg,0,0,4
6053901,6053901.jpg,6053901.jpg,6053901.jpg,80,6053901.jpg,0,0,4
6053918,6053918.jpg,6053918.jpg,6053918.jpg,80,6053918.jpg,0,0,4
6053925,6053925.jpg,6053925.jpg,6053925.jpg,80,6053925.jpg,0,0,4
6053932,6053932.jpg,6053932.jpg,6053932.jpg,80,6053932.jpg,0,0,4
6053949,6053949.jpg,6053949.jpg,6053949.jpg,80,6053949.jpg,0,0,4
6053956,6053956.jpg,6053956.jpg,6053956.jpg,80,6053956.jpg,0,0,4
6053963,6053963.jpg,6053963.jpg,6053963.jpg,80,6053963.jpg,0,0,4
6053970,6053970.jpg,6053970.jpg,6053970.jpg,80,6053970.jpg,0,0,4
6053987,6053987.jpg,6053987.jpg,6053987.jpg,80,6053987.jpg,0,0,4
6053994,6053994.jpg,6053994.jpg,6053994.jpg,80,6053994.jpg,0,0,4
6054007,6054007.jpg,6054007.jpg,6054007.jpg,80,6054007.jpg,0,0,4
6054014,6054014.jpg,6054014.jpg,6054014.jpg,80,6054014.jpg,0,0,4
6054021,6054021.jpg,6054021.jpg,6054021.jpg,80,6054021.jpg,0,0,4
6054038,6054038.jpg,6054038.jpg,6054038.jpg,80,6054038.jpg,0,0,4
6054045,6054045.jpg,6054045.jpg,6054045.jpg,80,6054045.jpg,0,0,4
6054052,6054052.jpg,6054052.jpg,6054052.jpg,80,6054052.jpg,0,0,4
6054069,6054069.jpg,6054069.jpg,6054069.jpg,80,6054069.jpg,0,0,4
6054090,6054090.jpg,6054090.jpg,6054090.jpg,80,6054090.jpg,0,0,4
6054236,6054236.jpg,6054236.jpg,6054236.jpg,80,6054236.jpg,0,0,4
,,,,80,6054236_1.jpg,1,0,
6054250,6054250.jpg,6054250.jpg,6054250.jpg,80,6054250.jpg,0,0,4
6054465,6054465.jpg,6054465.jpg,6054465.jpg,80,6054465.jpg,0,0,4
6054670,6054670.jpg,6054670.jpg,6054670.jpg,80,6054670.jpg,0,0,4
,,,,80,6054670_1.jpg,1,0,
6055738,6055738.jpg,6055738.jpg,6055738.jpg,80,6055738.jpg,0,0,4
6055745,6055745.jpg,6055745.jpg,6055745.jpg,80,6055745.jpg,0,0,4
6055851,6055851.jpg,6055851.jpg,6055851.jpg,80,6055851.jpg,0,0,4
6055899,6055899.jpg,6055899.jpg,6055899.jpg,80,6055899.jpg,0,0,4
,,,,80,6055899_1.jpg,1,0,
6056469,6056469.jpg,6056469.jpg,6056469.jpg,80,6056469.jpg,0,0,4
6056728,6056728.jpg,6056728.jpg,6056728.jpg,80,6056728.jpg,0,0,4
,,,,80,6056728_1.jpg,1,0,
6056797,6056797.jpg,6056797.jpg,6056797.jpg,80,6056797.jpg,0,0,4
6056865,6056865.jpg,6056865.jpg,6056865.jpg,80,6056865.jpg,0,0,4
6057060,6057060.jpg,6057060.jpg,6057060.jpg,80,6057060.jpg,0,0,4
6057176,6057176.jpg,6057176.jpg,6057176.jpg,80,6057176.jpg,0,0,4
,,,,80,6057176_1.jpg,1,0,
,,,,80,6057176_2.jpg,2,0,
,,,,80,6057176_3.jpg,3,0,
,,,,80,6057176_4.jpg,4,0,
6057312,6057312.jpg,6057312.jpg,6057312.jpg,80,6057312.jpg,0,0,4
6057329,6057329.jpg,6057329.jpg,6057329.jpg,80,6057329.jpg,0,0,4
,,,,80,6057329_1.jpg,1,0,
6057480,6057480.jpg,6057480.jpg,6057480.jpg,80,6057480.jpg,0,0,4
,,,,80,6057480_1.jpg,1,0,
,,,,80,6057480_2.jpg,2,0,
6057565,6057565.jpg,6057565.jpg,6057565.jpg,80,6057565.jpg,0,0,4
6057855,6057855.jpg,6057855.jpg,6057855.jpg,80,6057855.jpg,0,0,4
,,,,80,6057855_1.jpg,1,0,
6058272,6058272.jpg,6058272.jpg,6058272.jpg,80,6058272.jpg,0,0,4
,,,,80,6058272_1.jpg,1,0,
,,,,80,6058272_2.jpg,2,0,
6058326,6058326.jpg,6058326.jpg,6058326.jpg,80,6058326.jpg,0,0,4
6058616,6058616.jpg,6058616.jpg,6058616.jpg,80,6058616.jpg,0,0,4
6058739,6058739.jpg,6058739.jpg,6058739.jpg,80,6058739.jpg,0,0,4
,,,,80,6058739_1.jpg,1,0,
6058746,6058746.jpg,6058746.jpg,6058746.jpg,80,6058746.jpg,0,0,4
,,,,80,6058746_1.jpg,1,0,
6058753,6058753.jpg,6058753.jpg,6058753.jpg,80,6058753.jpg,0,0,4
,,,,80,6058753_1.jpg,1,0,
6058760,6058760.jpg,6058760.jpg,6058760.jpg,80,6058760.jpg,0,0,4
,,,,80,6058760_1.jpg,1,0,
6058951,6058951.jpg,6058951.jpg,6058951.jpg,80,6058951.jpg,0,0,4
,,,,80,6058951_1.jpg,1,0,
,,,,80,6058951_2.jpg,2,0,
6059057,6059057.jpg,6059057.jpg,6059057.jpg,80,6059057.jpg,0,0,4
,,,,80,6059057_1.jpg,1,0,
,,,,80,6059057_2.jpg,2,0,
6059132,6059132.jpg,6059132.jpg,6059132.jpg,80,6059132.jpg,0,0,4
