sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,brands,cin7_import,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
6077112,,Default,simple,"Confectionery/USA Confectionery","Default Category",base,,,,,,"2017-11-20 03:48:40",,,,,"ICE BREAKER DUO GRAPE 36G*8",No,,,0,/6/0/6077112_4.jpg,,No,,,,,,,,"Use config","Use config","ICE BREAKER DUO GRAPE 36G*8",,,"Block after Info Column",,22.0000,0,"ICE BREAKER DUO GRAPE 36G*8",/6/0/6077112_4.jpg,,,,,1,2,/6/0/6077112_4.jpg,,"2017-12-07 21:13:56",ice-breaker-duo-grape-36g-8,ice-breaker-duo-grape-36g-8.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6077112.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/0/6077112_1.jpg,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/0/6077112_2.jpg,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/0/6077112_3.jpg,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/0/6077112_4.jpg,,0,0
6076900,,Default,simple,"Confectionery/USA Confectionery","Default Category",base,,,,,,"2017-11-20 03:48:40",,,,,"JB BEAN BOOZLED DISPENSER 99G",No,,,0,/6/0/6076900_1.jpg,,No,,,,,,,,"Use config","Use config","JB BEAN BOOZLED DISPENSER 99G",,,"Block after Info Column",,45.0000,0,"JB BEAN BOOZLED DISPENSER 99G",/6/0/6076900_1.jpg,,,,,1,2,/6/0/6076900_1.jpg,,"2017-12-07 21:10:59",jb-bean-boozled-dispenser-99g,jb-bean-boozled-dispenser-99g.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6076900.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/0/6076900_1.jpg,,0,0
6076894,,Default,simple,"Confectionery/USA Confectionery","Default Category",base,,,,,,"2017-11-20 03:48:40",,,,,"JB DRAFT BEER CAN 49G*12",No,,,0,/6/0/6076894_1.jpg,,No,,,,,,,,"Use config","Use config","JB DRAFT BEER CAN 49G*12",,,"Block after Info Column",,54.0000,0,"JB DRAFT BEER CAN 49G*12",/6/0/6076894_1.jpg,,,,,1,2,/6/0/6076894_1.jpg,,"2017-12-07 21:10:51",jb-draft-beer-can-49g-12,jb-draft-beer-can-49g-12.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6076894.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/0/6076894_1.jpg,,0,0
6076696,,Default,simple,"Biscuits/Pastries/US Imports","Default Category",base,,,,,,"2017-11-20 03:48:40",,,,,"HOSTESS POWDERE DONETTES 6PACK",No,,,0,/6/0/6076696_3.jpg,,No,,,,,,,,"Use config","Use config","HOSTESS POWDERE DONETTES 6PACK",,,"Block after Info Column",,22.0000,0,"HOSTESS POWDERE DONETTES 6PACK",/6/0/6076696_3.jpg,,,,,1,2,/6/0/6076696_3.jpg,,"2017-12-07 23:31:23",hostess-powdere-donettes-6pack,hostess-powdere-donettes-6pack.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6076696.jpg,,0,0
